hive.metastore.client.cache.v2.enabled	SKIP	SKIP
hive.metastore.client.cache.v2.maxSize	SKIP	SKIP
hive.metastore.client.cache.v2.recordStats	SKIP	SKIP
hive.exec.script.wrapper	SKIP	SKIP
hive.exec.plan	SKIP	SKIP
hive.exec.stagingdir	SKIP	SKIP
hive.exec.scratchdir	SKIP	SKIP
hive.repl.rootdir	/valid/file1	/valid/file2
hive.repl.cm.enabled	SKIP	SKIP
hive.repl.cmrootdir	/valid/file1	/valid/file2
hive.repl.cm.retain	1d	20d
hive.repl.cm.encryptionzone.rootdir	SKIP	SKIP
hive.repl.cm.nonencryptionzone.rootdir	SKIP	SKIP
hive.repl.cm.interval	1s	7200s
hive.repl.ha.datapath.replace.remote.nameservice	SKIP	SKIP
hive.repl.ha.datapath.replace.remote.nameservice.name	SKIP	SKIP
hive.repl.replica.functions.root.dir	/valid/file1	/valid/file2
hive.repl.approx.max.load.tasks	5000	20000
hive.repl.partitions.dump.parallelism	50	200
hive.repl.table.dump.parallelism	7	30
hive.repl.run.data.copy.tasks.on.target	SKIP	SKIP
hive.repl.dump.metadata.only	SKIP	SKIP
hive.repl.retain.prev.dump.dir	/valid/dir1	/valid/dir2
hive.repl.retain.prev.dump.dir.count	1	6
hive.repl.retain.custom.db.locations.on.target	SKIP	SKIP
hive.repl.include.materialized.views	SKIP	SKIP
hive.repl.dump.skip.immutable.data.copy	SKIP	SKIP
hive.repl.dump.metadata.only.for.external.table	FALSE	SKIP
hive.repl.bootstrap.acid.tables	SKIP	SKIP
hive.repl.bootstrap.dump.open.txn.timeout	10h	2h
hive.repl.bootstrap.dump.abort.write.txn.after.timeout	FALSE	SKIP
hive.repl.add.raw.reserved.namespace	SKIP	SKIP
hive.repl.include.external.tables	SKIP	SKIP
hive.repl.bootstrap.external.tables	SKIP	SKIP
hive.repl.replica.external.table.base.dir	/valid/dir1	/valid/dir2
hive.repl.external.warehouse.single.copy.task	TRUE	SKIP
hive.repl.external.warehouse.single.copy.task.paths	SKIP	SKIP
hive.repl.include.authorization.metadata	SKIP	SKIP
hive.repl.authorization.provider.service	SKIP	SKIP
hive.repl.handle.ranger.deny.policy	TRUE	SKIP
hive.repl.failover.start	TRUE	SKIP
hive.repl.ranger.target.deny.policy	FALSE	SKIP
hive.repl.ranger.client.read.timeout	1s	600s
hive.repl.include.atlas.metadata	SKIP	SKIP
hive.repl.atlas.endpoint	SKIP	SKIP
hive.repl.atlas.replicatedto	SKIP	SKIP
hive.repl.atlas.client.read.timeout	1s	14400s
hive.repl.external.client.connect.timeout	1s	20s
hive.repl.source.cluster.name	SKIP	SKIP
hive.repl.target.cluster.name	SKIP	SKIP
hive.repl.retry.initial.delay	1s	120s
hive.repl.retry.backoff.coefficient	0.6	2.4
hive.repl.retry.jitter	1s	60s
hive.repl.retry.max.delay.between.retries	1m	120m
hive.repl.retry.total.duration	1h	48h
hive.repl.copy.file.list.iterator.retry	SKIP	SKIP
hive.repl.load.partitions.batch.size	5000	20000
hive.repl.load.partitions.with.data.copy.batch.size	500	2000
hive.repl.parallel.copy.tasks	50	200
hive.repl.externaltable.snapshotdiff.copy	TRUE	SKIP
hive.repl.externaltable.snapshot.overwrite.target	FALSE	SKIP
hive.repl.stats.events.count	1	10
hive.exec.local.scratchdir	SKIP	SKIP
hive.downloaded.resources.dir	/valid/dir1	/valid/dir2
hive.scratch.dir.permission	350	1400
hive.exec.submitviachild	SKIP	SKIP
hive.exec.submit.local.task.via.child	SKIP	SKIP
hive.exec.script.maxerrsize	50000	200000
hive.exec.script.allow.partial.consumption	SKIP	SKIP
stream.stderr.reporter.prefix	SKIP	SKIP
stream.stderr.reporter.enabled	SKIP	SKIP
hive.exec.compress.output	SKIP	SKIP
hive.exec.compress.intermediate	SKIP	SKIP
hive.intermediate.compression.codec	SKIP	SKIP
hive.intermediate.compression.type	SKIP	SKIP
hive.exec.reducers.bytes.per.reducer	SKIP	SKIP
hive.exec.reducers.max	504	2018
hive.exec.pre.hooks	SKIP	SKIP
hive.exec.post.hooks	SKIP	SKIP
hive.exec.failure.hooks	SKIP	SKIP
hive.exec.query.redactor.hooks	SKIP	SKIP
hive.client.stats.publishers	SKIP	SKIP
hive.basic.stats.max.threads.factor	1	4
hive.exec.parallel	SKIP	SKIP
hive.exec.parallel.thread.number	1	16
hive.mapred.reduce.tasks.speculative.execution	SKIP	SKIP
hive.exec.counters.pull.interval	SKIP	SKIP
hive.exec.dynamic.partition	SKIP	SKIP
hive.exec.dynamic.partition.mode	SKIP	SKIP
hive.exec.max.dynamic.partitions	500	2000
hive.exec.max.dynamic.partitions.pernode	50	200
hive.exec.dynamic.partition.type.conversion	SKIP	SKIP
hive.exec.max.created.files	SKIP	SKIP
hive.exec.default.partition.name	SKIP	SKIP
hive.lockmgr.zookeeper.default.partition.name	SKIP	SKIP
hive.exec.show.job.failure.debug.info	SKIP	SKIP
hive.exec.job.debug.capture.stacktraces	SKIP	SKIP
hive.exec.job.debug.timeout	15000	60000
hive.exec.tasklog.debug.timeout	10000	40000
hive.output.file.extension	SKIP	SKIP
hive.in.test	SKIP	SKIP
hive.in.iceberg.test	SKIP	SKIP
hive.in.ssl.test	SKIP	SKIP
hive.in.repl.test	SKIP	SKIP
hive.in.ide.test	SKIP	SKIP
hive.testing.short.logs	SKIP	SKIP
hive.testing.remove.logs	SKIP	SKIP
hive.test.load.hostnames	SKIP	SKIP
hive.test.load.interval	1ms	20ms
hive.test.load.utilization	0.1	0.4
hive.in.tez.test	SKIP	SKIP
hive.mapjoin.testing.no.hash.table.load	SKIP	SKIP
hive.qtest.additional.partial.mask.pattern	SKIP	SKIP
hive.qtest.additional.partial.mask.replacement.text	SKIP	SKIP
hive.in.repl.test.files.sorted	SKIP	SKIP
hive.exec.mode.local.auto	SKIP	SKIP
hive.exec.mode.local.auto.inputbytes.max	SKIP	SKIP
hive.exec.mode.local.auto.input.files.max	1	8
