zookeeper.connect	SKIP	SKIP
zookeeper.session.timeout.ms	9000	36000
zookeeper.connection.timeout.ms	SKIP	SKIP
zookeeper.set.acl	true	SKIP
zookeeper.max.in.flight.requests	1	20
zookeeper.ssl.client.enable	true	SKIP
zookeeper.clientCnxnSocket	SKIP	SKIP
zookeeper.ssl.keystore.location	SKIP	SKIP
zookeeper.ssl.keystore.password	SKIP	SKIP
zookeeper.ssl.keystore.type	SKIP	SKIP
zookeeper.ssl.truststore.location	SKIP	SKIP
zookeeper.ssl.truststore.password	SKIP	SKIP
zookeeper.ssl.truststore.type	SKIP	SKIP
zookeeper.ssl.protocol	SKIP	SKIP
zookeeper.ssl.enabled.protocols	SKIP	SKIP
zookeeper.ssl.cipher.suites	SKIP	SKIP
zookeeper.ssl.endpoint.identification.algorithm	TLS	SKIP
zookeeper.ssl.crl.enable	true	SKIP
zookeeper.ssl.ocsp.enable	true	SKIP
broker.id.generation.enable	false	SKIP
reserved.broker.max.id	500	2000
broker.id	0	-2
message.max.bytes	524294	2097176
num.network.threads	1	6
num.io.threads	1	16
num.replica.alter.log.dirs.threads	SKIP	SKIP
background.threads	1	20
queued.max.requests	250	1000
queued.max.request.bytes	0	-2
request.timeout.ms	15000	60000
socket.connection.setup.timeout.ms	5000	20000
socket.connection.setup.timeout.max.ms	15000	60000
metadata.log.max.record.bytes.between.snapshots	10485760	41943040
process.roles	SKIP	SKIP
node.id	0	-2
initial.broker.registration.timeout.ms	30000	120000
broker.heartbeat.interval.ms	1000	4000
broker.session.timeout.ms	4500	18000
controller.listener.names	SKIP	SKIP
sasl.mechanism.controller.protocol	SASL	SKIP
metadata.log.dir	/valid/dir1	/valid/dir2
metadata.log.segment.bytes	536870912	2147483648
metadata.log.segment.min.bytes	4194304	16777216
metadata.log.segment.ms	302400000	1209600000
metadata.max.retention.bytes	0	-2
metadata.max.retention.ms	302400000	1209600000
metadata.max.idle.interval.ms	250	1000
authorizer.class.name	SKIP	SKIP
early.start.listeners	SKIP	SKIP
listeners	URI	SKIP
advertised.listeners	SKIP	SKIP
listener.security.protocol.map	PLAINTEXT:PLAINTEXT	SSL:SSL
control.plane.listener.name	SKIP	SKIP
socket.send.buffer.bytes	51200	204800
socket.receive.buffer.bytes	51200	204800
socket.request.max.bytes	52428800	209715200
socket.listen.backlog.size	25	100
max.connections.per.ip	1073741823	4294967294
max.connections.per.ip.overrides	SKIP	SKIP
max.connections	1073741823	4294967294
max.connection.creation.rate	1073741823	4294967294
connections.max.idle.ms	300000	1200000
connection.failed.authentication.delay.ms	50	200
broker.rack	SKIP	SKIP
num.partitions	0	2
log.dir	/valid/file1	/valid/file2
log.dirs	SKIP	SKIP
log.segment.bytes	536870912	2147483648
log.roll.ms	SKIP	SKIP
log.roll.hours	84	336
log.roll.jitter.ms	SKIP	SKIP
log.roll.jitter.hours	1	-1
log.retention.ms	SKIP	SKIP
log.retention.minutes	SKIP	SKIP
log.retention.hours	84	336
log.retention.bytes	0	-2
log.retention.check.interval.ms	150000	600000
log.cleanup.policy	SKIP	SKIP
log.cleaner.threads	0	2
log.cleaner.io.max.bytes.per.second	8.988465674311579e+307	inf
log.cleaner.dedupe.buffer.size	67108864	268435456
log.cleaner.io.buffer.size	262144	1048576
log.cleaner.io.buffer.load.factor	0.45	1.8
log.cleaner.backoff.ms	7500	30000
log.cleaner.min.cleanable.ratio	0.25	1.0
log.cleaner.enable	false	SKIP
log.cleaner.delete.retention.ms	43200000	172800000
log.cleaner.min.compaction.lag.ms	1	-1
log.cleaner.max.compaction.lag.ms	4611686018427387903	18446744073709551614
log.index.size.max.bytes	5242880	20971520
log.index.interval.bytes	2048	8192
log.flush.interval.messages	4611686018427387903	18446744073709551614
log.segment.delete.delay.ms	30000	120000
log.flush.scheduler.interval.ms	4611686018427387903	18446744073709551614
log.flush.interval.ms	SKIP	SKIP
log.flush.offset.checkpoint.interval.ms	30000	120000
log.flush.start.offset.checkpoint.interval.ms	30000	120000
log.preallocate	true	SKIP
num.recovery.threads.per.data.dir	0	2
auto.create.topics.enable	false	SKIP
min.insync.replicas	0	2
log.message.format.version	.10.0	SKIP
log.message.timestamp.type	SKIP	SKIP
log.message.timestamp.difference.max.ms	4611686018427387903	18446744073709551614
create.topic.policy.class.name	SKIP	SKIP
alter.config.policy.class.name	SKIP	SKIP
log.message.downconversion.enable	false	SKIP
