project	Issue ID	Corresponding CTest	Issue Link	Title
alluxio-core	ALLUXIO-3331	alluxio.master.file.FileSystemMasterTest#rename	https://alluxio.atlassian.net/browse/ALLUXIO-3331	Config check for site property file
alluxio-core	ALLUXIO-10257	alluxio.master.AlluxioMasterProcessTest#startStopSecondary	https://github.com/Alluxio/alluxio/issues/10257	This exception occurred when I was creating the master,Ask for help
alluxio-core	ALLUXIO-9810	CANNOT DETECT	https://github.com/Alluxio/alluxio/issues/9810	Alluxio worker fails to start when using multiple storage media in single tier on EMR
alluxio-core	ALLUXIO-8997	alluxio.client.file.BaseFileSystemTest#delete	https://github.com/Alluxio/alluxio/issues/8997	while Worker register to Master, Both Master and Worker NPE if it named the tier alias name other than the MEM SSD HDD
hadoop-common	HADOOP-14155	org.apache.hadoop.security.TestUserGroupInformation#testLogin	https://issues.apache.org/jira/browse/HADOOP-14155	KerberosName.replaceParameters() may throw java.lang.ArrayIndexOutOfBoundsException
hadoop-common	HADOOP-11409	org.apache.hadoop.fs.TestStat#testStat	https://issues.apache.org/jira/browse/HADOOP-11409	FileContext.getFileContext can stack overflow if default fs misconfigured
hadoop-common	HADOOP-12294	org.apache.hadoop.fs.viewfs.TestFcCreateMkdirLocalFs#testWithRename	https://issues.apache.org/jira/browse/HADOOP-12294	Throw an Exception when fs.permissions.umask-mode is misconfigured
hadoop-common	HDFS-2358	org.apache.hadoop.fs.TestStat#testStat	https://issues.apache.org/jira/browse/HDFS-2358	NPE when the default filesystem's uri has no authority
hadoop-common	HADOOP-12530	org.apache.hadoop.hdfs.server.namenode.TestAllowFormat#testAllowFormat	https://issues.apache.org/jira/browse/HADOOP-12530	Error when trying to format HDFS by running hdfs namenode -format
hadoop-common	HDFS-2595	org.apache.hadoop.hdfs.server.datanode.TestBlockRecovery#testInitReplicaRecoveryDoesNotHoldLock	https://issues.apache.org/jira/browse/HDFS-2595	misleading message when fs.default.name not set and running sbin/start-dfs.sh
hadoop-common	HADOOP-13792	org.apache.hadoop.hdfs.server.datanode.TestBlockRecovery#testFinalizedReplicas	https://issues.apache.org/jira/browse/HADOOP-13792	Stackoverflow for schemeless defaultFS with trailing slash
hadoop-common	HADOOP-14821	org.apache.hadoop.conf.TestConfiguration#testGetPasswordDeprecatedKeyStored	https://issues.apache.org/jira/browse/HADOOP-14821	Executing the command 'hdfs -Dhadoop.security.credential.provider.path=file1.jceks,file2.jceks' fails if permission is denied to some files
hadoop-common	HADOOP-14969	org.apache.hadoop.hdfs.server.datanode.TestBlockRecovery#testRecoveryInProgressException	https://issues.apache.org/jira/browse/HADOOP-14969	Improve diagnostics in secure DataNode startup
hadoop-common	HADOOP-9453	org.apache.hadoop.yarn.applications.unmanagedamlauncher.TestUnmanagedAMLauncher#testUMALauncher	https://issues.apache.org/jira/browse/HADOOP-9453	Configuration.loadResource should skip empty resources
hadoop-common	HADOOP-10508	org.apache.hadoop.hdfs.TestIsMethodSupported#testRefreshCallQueueProtocol	https://issues.apache.org/jira/browse/HADOOP-10508	RefreshCallQueue fails when authorization is enabled
hadoop-common	HADOOP-4212	org.apache.hadoop.fs.viewfs.TestFcCreateMkdirLocalFs#testWithRename	https://issues.apache.org/jira/browse/HADOOP-4212	New lines and leading spaces are not trimmed of a value when configuration is rea
hadoop-common	HADOOP-6578	org.apache.hadoop.fs.TestStat#testStat	https://issues.apache.org/jira/browse/HADOOP-6578	Configuration should trim whitespace around a lot of value types
hadoop-hdfs	HADOOP-6566	org.apache.hadoop.hdfs.server.namenode.TestFSImage#testZeroBlockSize	https://issues.apache.org/jira/browse/HADOOP-6566	Hadoop daemons should not start up if the ownership/permissions on the directories used at runtime are misconfigured
hadoop-hdfs	HDFS-7359	org.apache.hadoop.hdfs.server.namenode.TestNameNodeHttpServerXFrame#testSecondaryNameNodeXFrame	https://issues.apache.org/jira/browse/HDFS-7359	NameNode in secured HA cluster fails to start if dfs.namenode.secondary.http-address cannot be interpreted as a network address.
hadoop-hdfs	HDFS-12407	org.apache.hadoop.hdfs.qjournal.server.TestJournalNode#testJournal	https://issues.apache.org/jira/browse/HDFS-12407	Journal nodes fails to shutdown cleanly if JournalNodeHttpServer or JournalNodeRpcServer fails to start
hadoop-hdfs	HDFS-7726	org.apache.hadoop.hdfs.server.namenode.ha.TestHAFsck#testHaFsck	https://issues.apache.org/jira/browse/HDFS-7726	Parse and check the configuration settings of edit log to prevent runtime errors
hadoop-hdfs	HDFS-1321	org.apache.hadoop.hdfs.server.namenode.TestNameNodeAcl#testModifyAclEntries	https://issues.apache.org/jira/browse/HDFS-1321	If service port and main port are the same, there is no clear log message explaining the issue.
hadoop-hdfs	HDFS-10279	org.apache.hadoop.hdfs.TestEncryptionZones#testReadWrite	https://issues.apache.org/jira/browse/HDFS-10279	Improve validation of the configured number of tolerated failed volumes
hadoop-hdfs	HDFS-2820	org.apache.hadoop.hdfs.server.datanode.TestDataNodeMultipleRegistrations#test2NNRegistration	https://issues.apache.org/jira/browse/HDFS-2820	Add a simple sanity check for HA config
hadoop-hdfs	HDFS-5872	org.apache.hadoop.hdfs.server.namenode.ha.TestHAConfiguration#testCheckpointerValidityChecks	https://issues.apache.org/jira/browse/HDFS-5872	Validate configuration of dfs.http.policy
hadoop-hdfs	HDFS-3795	org.apache.hadoop.hdfs.qjournal.server.TestJournalNode#testJournal	https://issues.apache.org/jira/browse/HDFS-3795	QJM: validate journal dir at startup
hadoop-hdfs	HDFS-12109	org.apache.hadoop.hdfs.TestDFSClientFailover#testFailureWithMisconfiguredHaNNs	https://issues.apache.org/jira/browse/HDFS-12109	"fs" java.net.UnknownHostException when HA NameNode is used
hadoop-hdfs	HDFS-4586	org.apache.hadoop.hdfs.server.namenode.TestFSImage#testZeroBlockSize	https://issues.apache.org/jira/browse/HDFS-4586	TestDataDirs.testGetDataDirsFromURIs fails with all directories in dfs.datanode.data.dir are invalid
hadoop-hdfs	HDFS-4442	org.apache.hadoop.hdfs.server.datanode.TestBlockRecovery#testFinalizedReplicas	https://issues.apache.org/jira/browse/HDFS-4442	Initialization failed for block (...) Invalid volume failure config value: 1
hadoop-hdfs	HDFS-15072	org.apache.hadoop.hdfs.server.namenode.TestFSImage#testZeroBlockSize	https://issues.apache.org/jira/browse/HDFS-15072	HDFS MiniCluster fails to start when run in directory path with a %
hadoop-hdfs	HDFS-7473	org.apache.hadoop.hdfs.server.datanode.TestBlockScanner#testScanAllBlocksNoRescan	https://issues.apache.org/jira/browse/HDFS-7473	Document setting dfs.namenode.fs-limits.max-directory-items to 0 is invalid
hadoop-hdfs	HDFS-6814	org.apache.hadoop.hdfs.server.namenode.metrics.TestNameNodeMetrics#testStaleNodes	https://issues.apache.org/jira/browse/HDFS-6814	Mistakenly dfs.namenode.list.encryption.zones.num.responses configured as boolean
hadoop-hdfs	HDFS-3407	org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.TestSpaceReservation#testWithDefaultBlockSize	https://issues.apache.org/jira/browse/HDFS-3407	When "dfs.datanode.directoryscan.interval" is configured to 0 DN get shutdown but when configured to -1/ less than 0 values directory scan is disabled
hadoop-hdfs	HDFS-10269	org.apache.hadoop.hdfs.server.datanode.TestBlockRecovery#testFinalizedReplicas	https://issues.apache.org/jira/browse/HDFS-10269	Invalid value configured for dfs.datanode.failed.volumes.tolerated cause the datanode exit
hadoop-hdfs	HDFS-5348	org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.TestWriteToReplica#testWriteToRbw	https://issues.apache.org/jira/browse/HDFS-5348	Fix error message when dfs.datanode.max.locked.memory is improperly configured
hadoop-hdfs	HDFS-6455	org.apache.hadoop.hdfs.nfs.nfs3.TestClientAccessPrivilege#testClientAccessPrivilegeForRemove	https://issues.apache.org/jira/browse/HDFS-6455	NFS: Exception should be added in NFS log for invalid separator in nfs.exports.allowed.hosts
hadoop-hdfs	HDFS-7875	org.apache.hadoop.hdfs.server.datanode.TestBlockRecovery#testFinalizedReplicas	https://issues.apache.org/jira/browse/HDFS-7875	Improve log message when wrong value configured for dfs.datanode.failed.volumes.tolerated
hadoop-hdfs	HDFS-8807	org.apache.hadoop.hdfs.server.namenode.TestFSImage#testZeroBlockSize	https://issues.apache.org/jira/browse/HDFS-8807	dfs.datanode.data.dir does not handle spaces between storageType and URI correctly
hadoop-hdfs	HDFS-7684	org.apache.hadoop.hdfs.TestRollingUpgrade#testCheckpointWithSNN	https://issues.apache.org/jira/browse/HDFS-7684	The host:port settings of the daemons should be trimmed before use
hbase-server	HBASE-16815	org.apache.hadoop.hbase.TestInfoServers#testInfoServersStatusPages	https://issues.apache.org/jira/browse/HBASE-16815	Low scan ratio in RPC queue tuning triggers divide by zero exception
hbase-server	HBASE-14252	org.apache.hadoop.hbase.TestInfoServers#testInfoServersStatusPages	https://issues.apache.org/jira/browse/HBASE-14252	RegionServers fail to start when setting hbase.ipc.server.callqueue.scan.ratio to 0
hbase-server	HBASE-21540	org.apache.hadoop.hbase.TestInfoServers#testInfoServersStatusPages	https://issues.apache.org/jira/browse/HBASE-21540	when set property "hbase.systemtables.compacting.memstore.type" to "basic" or "eager" will cause an exception
hbase-server	HBASE-13320	org.apache.hadoop.hbase.io.hfile.TestBlockCacheReporting#testBucketCache	https://issues.apache.org/jira/browse/HBASE-13320	'hbase.bucketcache.size' configuration value is not correct in hbase-default.xml
hbase-server	HBASE-17392	org.apache.hadoop.hbase.filter.TestMultiRowRangeFilter#testMergeAndSortWithEmptyStopRow	https://issues.apache.org/jira/browse/HBASE-17392	Load DefaultStoreEngine when user misconfigures 'hbase.hstore.engine.class'
hbase-server	HBASE-21148	org.apache.hadoop.hbase.security.visibility.TestVisibilityLabelsWithCustomVisLabService#testSecurityCapabilities	https://issues.apache.org/jira/browse/HBASE-21148	[Docs] Some errors in section#Security Configuration Example of hbase book
